Day,Vista Banrep,FPCOFIXMK3M,FPCOFMKLN1Y,FPCOFMKLN2Y,FPCOFXMK1M,FPCOFXMK2M,FPCOFXMK3M1,FPCOFXMK3M2,FPCOFXMK3M3,FPCOVMKLN1Y,FPCOVMKLN2Y,FPCOBFIX10Y,FPCOCPFIX2Y,FPCOCPFIX5Y,FPCODTFB12M,FPCODTFB18M,FPCODTFB24M,FPCOIBR18M,FPCOIBRB12M,FPCOIBRB18M,FPCOIBRB24+,FPCOIBRB24M,FPCOIBRC12M,FPCOIBRR12M,FPCOIBRR18M,FPCOIPCB10+,FPCOIPCB10Y,FPCOIPCB2Y,FPCOIPCB5Y,FPCOIPCC10+,FPCOIPCC10Y,FPCOIPCC2Y,FPCOIPCC5Y,FPCOIPCR10+,FPCOIPCR10Y,FPCOIPCR2Y,FPCOIPCR5Y,COLTES CP,COLTES LP,COLTES,COLTES UVR,COLTES UVRCP,TRM,FPCOGVFX10Y,FPCOGVFIX2Y,FPCOGVFIX5Y,FPCOGVUVRLN,FPCOGFX10Y+,ICOLCAP,ACWI_COP,LEGATRUU_COP,INMOBILIARIO_COL,LEGATRUU_USD,SPX Index_COP,MXEF Index_COP,MXEA Index_COP
20140110,"135,2628402",100,"100,1256128","100,2184901","92,23138265",100,"92,21405395","92,54231259","92,49939917",100,"100,170733","100,5655341","100,2787825","100,1951148","100,1881829","100,2467107","100,246847","100,1896885","100,1916121","100,1763207","100,2737547","100,2520705","100,1872456","100,1652597","100,2842346","102,5354237","100,9533371","100,2610512","100,3780358","102,406513","101,1143119","100,2723766","100,398588","102,35185","101,4876931","100,3367804","100,4002263","178,14","201,91","188,13","177,74","67,13295061","1924,5","100,3224093","100,2278103","100,2179746","100,4075667","100,1577076",15600,"3185259,195","877048,536","15776,73309","455,728","3545641,065","1867053,675","3676776,50"
20140111,"135,2746931",100,"100,1376681","100,2313898","92,24007019",100,"92,22271793","92,54231259","92,49939917",100,"100,1856984","100,5861625","100,2944905","100,2148524","100,2013173","100,2617531","100,2617715","100,2052685","100,2063521","100,1919258","100,2889476","100,267248","100,2019345","100,1797837","100,2996471","102,5540469","100,9713295","100,2765597","100,3959707","102,425036","101,1322832","100,2878882","100,4163695","102,3703056","101,5055599","100,352343","100,4176465","178,14","201,91","188,13","177,74","67,13119872","1924,5","100,3425612","100,2407866","100,2360654","100,4169237","100,1778758",15600,"3185259,195","877048,536","15778,23664","455,728","3545641,065","1867053,675","3676776,50"
20140112,"135,286547",100,"100,1496987","100,2442688","92,24875575",100,"92,23138265","92,54231259","92,49939917",100,"100,2006588","100,6067924","100,310185","100,2345902","100,2144403","100,2767962","100,2766989","100,2208493","100,2210838","100,2075318","100,3041439","100,2824288","100,2166149","100,1943","100,315061","102,5726718","100,9893235","100,2920607","100,4139057","102,4435606","101,1502561","100,3033924","100,4341512","102,3887627","101,5234283","100,3678988","100,435067","178,14","201,91","188,13","177,74","67,12945866","1924,5","100,3627143","100,2537544","100,254155","100,4262791","100,1980458",15460,"3185259,195","877048,536","15779,74535","455,728","3545641,065","1867053,675","3676776,50"
20140113,"135,298402",100,"100,1668605","100,3009606","92,25742832",100,"92,24007019","92,5752219","92,53251873",100,"100,2176698","100,9920014","100,3922574","100,4694152","100,2372378","100,3118165","100,3251823","100,2455922","100,2386095","100,2317209","100,3423102","100,3353942","100,2339687","100,2118471","100,3437577","102,5600138","100,9762697","100,3039437","100,4532128","102,4599461","101,1403235","100,3147353","100,4635625","102,4218134","101,5225872","100,3754674","100,4506872","178,35","202,64","188,57","177,84","67,18140959","1926,5","100,5473413","100,2759777","100,3526405","100,472847","100,6262247",15460,"3169882,365","880043,5018","15781,26043","456,8095","3504688,8","1882999,63","3690480,46"
20140114,"135,310258",100,"100,1828982","100,3065849","92,26608783",100,"92,24875575","92,59227345","92,54967923",100,"100,2288447","100,6185585","100,4266645","100,3564837","100,2511232","100,3309368","100,3483031","100,2665607","100,2430444","100,2528423","100,401364","100,3895205","100,2391617","100,2208526","100,3637479","102,7396247","101,0623165","100,3314133","100,5358314","102,5080516","101,2061801","100,3410995","100,5352644","102,3837724","101,5422658","100,3948521","100,5055042","178,38","202,56","188,55","177,85","67,18734137","1935,5","100,5343237","100,3013889","100,4215961","100,5009464","100,5669079",15590,"3196923,415","883998,5924","15782,77024","456,7288","3559152,24","1887654,44","3691443,67"
20140115,"135,3221151",100,"100,1978082","100,3358813","92,27474528",100,"92,25742832","92,59530178","92,55272691",100,"100,265378","100,5913374","100,5049294","100,3382219","100,2621402","100,2876306","100,3630848","100,3134144","100,2750354","100,2977698","100,36442","100,4437196","100,2717127","100,2541918","100,4266309","102,8444085","101,1569332","100,3533679","100,6620114","102,6440601","101,2565038","100,3627951","100,637769","102,540542","101,4825159","100,4158145","100,5406364","178,41","202,46","188,52","177,64","67,19326131","1941,5","100,7099156","100,3168507","100,392914","100,425792","100,3850127",15400,3222890,"882600,2697","15784,17562","454,5971","3588629,77","1898534,605","3720496,45"
20140116,"135,3339732",100,"100,2083101","100,3393519","92,28340355",100,"92,26608783","92,60286325","92,56033669",100,"100,3015006","100,9451246","100,5322549","100,2719823","100,2992802","100,3743472","100,4484809","100,3815638","100,3098789","100,3692698","100,5011965","100,5531957","100,3058501","100,2848933","100,4717995","102,9264518","101,2309728","100,3851096","100,7384652","102,7046962","101,3522365","100,3954198","100,709342","102,5875948","101,6274189","100,4542451","100,5998483","178,49","202,29","188,49","177,62","67,21577919","1949,5","100,7405289","100,3454643","100,4401609","100,413422","100,2636011",15478,"3234883,33","887911,2771","15785,7032","455,4559","3598562,555","1900080,175","3736021,80"
20140117,"135,3458323",100,"100,2216655","100,3715292","92,29206255",100,"92,27474528","92,61349048","92,57103181",100,"100,3230671","100,6247216","100,5667877","99,91174015","100,3240536","100,3842793","99,92039749","100,420448","100,3283106","100,4106549","100,5341499","100,5862572","100,3242901","100,3025784","100,4938404","102,294972","101,1494376","100,4764465","100,8141201","102,2268033","101,2611177","100,4805788","100,7694641","102,1889226","101,5146093","100,5042313","100,631201","178,39","201,29","187,99","177,15","67,19226607","1949,5","100,4123107","100,3464857","100,3182101","100,0780422","99,87434438",15478,"3230945,34","887953,1913","15789,26846","455,4774","3584545,65","1895440,365","3742845,05"
20140118,"135,3576925",100,"100,2332059","100,3838494","92,30069748",100,"92,28340355","92,61349048","92,57103181",100,"100,3377986","100,6459944","100,5817269","99,93226018","100,3367228","100,3991857","99,93602804","100,435731","100,3428139","100,4259534","100,549215","100,6011198","100,3387347","100,316864","100,5090142","102,313674","101,1674685","100,4916578","100,8318598","102,2453948","101,2791419","100,4958169","100,7870989","102,2074422","101,5325652","100,5196615","100,6485785","178,39","201,29","187,99","177,15","67,19432574","1949,5","100,4324252","100,3592895","100,3362691","100,0876629","99,89453671",15478,"3230945,34","887953,1913","15792,81895","455,4774","3584545,65","1895440,365","3742845,05"
20140119,"135,3695537",100,"100,2447254","100,3961514","92,30931385",100,"92,29206255","92,61349048","92,57103181",100,"100,3525249","100,6672687","100,596653","99,95277497","100,349381","100,4140891","99,95166137","100,4510149","100,3573088","100,4412528","100,5642834","100,6159854","100,3531705","100,3311416","100,5241891","102,3323764","101,1855007","100,5068615","100,8495998","102,2639875","101,2971676","100,5110474","100,8047338","102,2259635","101,5505226","100,5350846","100,6659561","178,39","201,29","187,99","177,15","67,1963854","1949,5","100,452541","100,3720846","100,3543269","100,0972817","99,91473082",15478,"3230945,34","887953,1913","15796,36855","455,4774","3584545,65","1895440,365","3742845,05"
20140120,"135,3814159",100,"100,2633806","100,3115362","92,31793653",100,"92,30069748","92,64249107","92,60021768",100,"100,3678803","100,2684014","100,5787833","100,3630103","100,3569168","100,3826551","100,1589398","100,473472","100,3715154","100,4633244","100,6337446","100,6331214","100,3667711","100,3404057","100,5489365","102,3274301","101,0732942","100,5282055","100,8205365","102,2734614","101,2494336","100,5359643","100,7638975","102,2463869","101,6513601","100,5808955","100,5925822","178,52","201,02","187,93","177,25","67,23168967","1971,5","100,4979604","100,3990602","100,4300497","100,0761457","99,24700022",15420,"3266992,365","898775,7003","15799,91797","455,8842","3624997,05","1913971,63","3781711,59"
20140121,"135,3932792",100,"100,2740684","100,319889","92,32656545",100,"92,30931385","92,65911977","92,61695262",100,"100,3997544","100,2903681","100,5832319","100,3208122","100,3630313","100,4427322","100,2421361","100,480338","100,3983006","100,4683774","100,6024147","100,6369714","100,3903217","100,3634136","100,5680799","102,461284","101,1095417","100,5259586","100,8212484","102,4345061","101,2947367","100,5350206","100,7704609","102,4259901","101,7080374","100,5872671","100,6164474","178,46","200,27","187,56","177,13","67,21840566","1971,5","100,2886789","100,3878658","100,405439","99,99049336","98,68299228",15370,"3271684,535","897939,39","15803,45561","455,46","3635051,7","1913833,625","3782559,33"
